station,lat,lon,elevation,n_obs,peak_sustained_wind,peak_gust,time_peak_sustained,time_peak_gust,mean_wind,max_1hr_mean_wind,pct_missing_wind,pct_missing_gust
KORD,41.9602,-87.9316,205.0,24,7.202216,13.889988,2012-06-29 16:51:00,2012-06-29 16:22:00,3.2795805000000002,3.815459666666667,0.0,83.33333333333334
KIND,39.7084,-86.3048,241.0,21,16.462208,25.207756,2012-06-29 20:11:00,2012-06-29 20:02:00,4.460474453333333,6.562590626666666,0.0,76.19047619047619
KCVG,39.0431,-84.6717,267.0,21,19.034428000000002,23.14998,2012-06-29 21:17:00,2012-06-29 21:17:00,4.434017333333334,6.259068666666667,0.0,80.95238095238095
KCMH,39.9914,-82.8808,247.0,23,23.664424,32.409972,2012-06-29 21:07:00,2012-06-29 21:07:00,5.56941547826087,8.831288666666667,0.0,73.91304347826086
KPIT,40.4915,-80.2329,373.0,19,6.173328,10.28888,2012-06-29 21:51:00,2012-06-29 23:51:00,4.278008,4.715736666666667,0.0,78.94736842105263
KDAY,39.9061,-84.2186,305.0,24,25.7222,36.525524000000004,2012-06-29 20:16:00,2012-06-29 20:26:00,6.173328000000001,9.817306333333335,0.0,66.66666666666666
KFWA,40.9781,-85.1871,248.0,19,28.294420000000002,40.641076,2012-06-29 18:54:00,2012-06-29 18:54:00,3.543947555555555,4.672866333333334,5.263157894736842,89.47368421052632
KSBN,41.7072,-86.3164,237.0,25,22.121092,27.779976,2012-06-29 17:43:00,2012-06-29 17:43:00,5.206173280000001,8.788418333333334,0.0,72.0
KGRR,42.8821,-85.523,240.0,18,11.317768000000001,12.8611,2012-06-29 18:53:00,2012-06-29 18:53:00,2.800861777777778,3.172404666666667,0.0,94.44444444444444
KLAN,42.78,-84.58,264.0,18,6.687772,8.745548,2012-06-29 18:53:00,2012-06-29 17:53:00,2.829442,3.1724046666666665,0.0,94.44444444444444
